"","tau= 0.05","tau= 0.10","tau= 0.15","tau= 0.20","tau= 0.25","tau= 0.30","tau= 0.35","tau= 0.40","tau= 0.45","tau= 0.50","tau= 0.55","tau= 0.60","tau= 0.65","tau= 0.70","tau= 0.75","tau= 0.80","tau= 0.85","tau= 0.90","tau= 0.95"
"(Intercept)",813.768580818576,1467.91487577616,1787.47188641475,2000.43115695464,2150.62560190284,2244.84396579905,2341.89734527677,2404.60253622702,2481.29261398057,2519.53252213525,2586.04089652936,2643.65102574508,2707.20805226868,2784.76649342192,2842.86524255368,2922.27274970742,3027.05631368104,3180.53835745719,3307.23346035195
"boy",47.3942881931725,69.5610135380363,83.6120293459716,91.5242230111416,96.1300272230793,103.861363996792,106.754773931748,108.752868059904,112.260249984855,117.735817534372,121.660956034598,123.750367468278,127.379646139076,129.364484386993,132.927510836972,133.861647501689,137.494851720218,134.971460686072,136.166261244918
"married",190.489809753474,147.486862721663,129.017215851025,124.073400554283,119.048523291781,115.344381022427,113.5426111887,108.836809464574,106.922480744811,104.615833834493,101.939353870386,100.458578776667,97.7182952831004,95.1042379265419,92.3423558159526,93.8891855723497,96.5936176393588,93.6955749960238,87.7336963810142
"mom.age",46.6710371163848,45.033611816807,39.3247119869254,35.1500350579479,32.0745684860068,31.3335378905744,30.1481437336276,30.905479174256,30.4229561920463,32.0711362491382,32.1274873655855,32.3740047896771,32.7722326820529,32.2584546293585,33.4339967922066,33.8067244543342,32.6292288160214,30.9874322676418,34.7478878429517
"mom.age2",-0.836592370081388,-0.77787731230462,-0.655123479475044,-0.570050329189858,-0.507037520886062,-0.483882861572233,-0.454656423479541,-0.45797122992779,-0.439670969579951,-0.460564149100678,-0.456809538112788,-0.454814743833815,-0.456027148456168,-0.440195844346156,-0.455339475383255,-0.455490676126285,-0.426410621487574,-0.387120513228347,-0.418779403748378
"ed.hs",11.4273474123108,3.35446529308905,4.61685451973032,7.27563230804475,10.6875528814384,10.6215468310179,8.59638161707842,9.17507891161346,7.75500861132923,7.1072076058254,8.0213540753911,7.72958382603499,7.21686762010554,6.85864477908553,12.5414239708631,10.5952528818264,11.3348515767604,14.1469080112408,7.23027170392462
"ed.smcol",24.978507496056,22.4339553388444,26.7443536187545,24.6003461085553,27.0453257993075,29.8299811230858,26.2624241295407,25.9933578133134,25.1553540082481,22.7159883378788,24.3614700812015,26.8285538373883,24.9522200471327,24.5131314056809,25.9350559934776,20.9132784672291,18.6248874766428,20.0260940565196,17.1267810177536
"ed.col",83.2399531322301,53.0339456899654,52.5432133097392,48.8207024406115,50.0189454641784,50.2639321232055,45.620223004563,44.2249518491649,37.9602729370753,33.6108131989843,34.8641562823942,32.0188021439236,26.1460580292024,25.1177128294969,29.8035259865938,23.8201162258159,21.8548475599909,16.2010349398232,-3.97207693666435
"novisit",-520.985512304484,-357.855537634467,-276.466599239825,-240.18877984054,-211.616968410305,-204.608073725161,-206.866156296274,-191.096272218256,-178.157236369835,-171.53085117651,-157.27056964351,-157.166337768684,-162.919838904752,-168.139318916012,-157.833796990294,-152.806635353106,-138.902980658535,-106.631807009174,-68.0545140065352
"tri2",18.0398503251365,4.56335969597281,-1.5571539688542,0.449527786755215,-1.83887549785591,-4.77888944988396,-3.65751209022986,-6.05579544960594,-6.40790641062596,-6.94673517529002,-8.91361600991597,-6.00925834966549,-5.56506776723515,-7.64714547132602,-4.62488815312206,-2.55466546513974,-0.642396290226169,-1.02170404538362,5.51264942553384
"tri3",126.180530241299,55.29676334917,31.1900058341428,18.7215942089893,12.4058941865964,6.15203756206744,6.87999762179281,1.45503421899673,-6.39271516594736,-6.11438831589087,-12.4290326057784,-11.1168212906238,-16.6690814329004,-18.5393601295081,-17.0253223460616,-18.2891722222337,-21.29234912904,-24.9895530459683,-36.0818564607303
"smoke",-151.662122439339,-160.866917624336,-149.612292683532,-144.031906509283,-147.666092327158,-145.43449837406,-145.700770260817,-149.509486470899,-152.591057154311,-155.6508277715,-156.150266942573,-155.569489977422,-155.562951655393,-148.211676840473,-153.419311191177,-150.517905348829,-150.296122023735,-169.833667167405,-169.281367672784
"cigsper",-2.85368966086305,-2.6738488057593,-3.34086332556247,-3.8657299123863,-3.3608324111482,-3.37498839915181,-3.39834941640529,-3.0333629408895,-2.85480828285617,-2.62538144629985,-2.53857890999711,-2.4282585439309,-2.60097344707139,-3.10385540600239,-2.77730739661192,-2.97902891285031,-2.60521606277636,-1.88406474657683,-2.44491359155069
"m.wtgain",41.7945463564675,22.6067150992903,16.9254009887253,13.6032970412767,11.8154162917324,10.6409896201232,9.52237222315714,8.5877208877696,7.59286381866412,7.0945457509793,6.26726222249857,5.88010490905405,5.34381117442417,4.76064795277479,4.0180178564223,3.27084486615739,2.8304510617544,1.54534669423684,0.952943105790018
"m.wtgain2",-0.368333132486211,-0.160124936542172,-0.101685569076889,-0.065538855959451,-0.0451865588491373,-0.0321968244220182,-0.0182274398306585,-0.00687398730710816,0.00584352107103533,0.0116041605881647,0.0218126672092138,0.0263397836649264,0.0331791374172411,0.0405738610142473,0.0501847736400089,0.0622686534954412,0.0691440334826448,0.0913262287259426,0.0974613265223043
